ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
,,,"4","In the navigation popup click the PC ","The map highlights the PC you selected. It has either a pink, orange, yellow or light blue background ",,,
,,,"5","Repeat for each sublocation. When you have tested a sublocation, collapse it again via the '-' button to free up the real estate and select the next location you expect recon devices per step 1 ","The PCs in each sublocation match the Asset hierachy ",,,
,,,"6","Test Recon Detail Summary tab displays expected data
Expand GASYNB Group Location and DMZ Sublocation and Select a Recon computer node that is pink in color and right click

","A dial popup is displayed with one sector of the popup labelled Detail - see example screenshot",,,
,,,"7","Select Detail","A new pop up is displayed defaulting to Summary Tab. See example screenshot
the selected PC name is correct at the top of the popup
The Location string at the top of the popup is correct for the data owner location
The Asset is the Data owner name
Object Type is Computer System
Date Collected matches the year the data was collected  for that Asset
There is hover text available for each field
The Vulnerability counts are displayed at the bottom and there is at least 1 Critical CVE count representing the pink node color

",,,
,,,"8","Click each of the other tabs: Interface, ARP, Inventory, Vulnerabilities, Patches, Recon, Properties (Dont test Ports in this sublocation, the data collection doesnt have any ports information)","
The data is the same on the VM with the test build and the release build",,,
,,,"9","Test export to Excel
 For each Detail tab in previous step click Export to excel
(You will be using these in the following steps)","An excel file is created populated with all the data and columns in the tabs
The data and row count matches between the Excels from the release and build in test",,,
,,,"10","Test Recon details against Asset Hierarchy
 Return to the Details popup Summary tab and note the Manufacturer, IPv4 Address, Model Number and Mac address properties
Return to Asset Hierarchy and expand the tree for the same location, select the data owner and drill down to find the same PC and select it to display Computer Details in the right pane","The Computer Details properties display the same properties as in Topology Summary for Manufacturer, Model, Name and Network Adapter Ip4 and Mac address (found as a Network Adaptor property, probably on page 2 of the grid)",,,
,,,"11","Change Asset Hierarchy > computer Details category to Operating System ","The Computer Details operating system (Caption) matches Topology Summary",,,
,,,"12","In Computer Details change the dropdown to Processor to display the Processor grid.

 ","Filter the Recon excel you exported from Topology on Object Type - Processor
 Using the data in Computer Details - Processor, validate the data in the Topology Recon excel for Object type Processor is correct (Note that the excel has the prefix 'CPU' and the processor UI does not have this prefix)
",,,
,,,"13","In Computer Details change the drop down to BIOS","Using the data in Computer Details - BIOS, validate the data in the Topology Recon excel filtered for Object type BIOS is correct
",,,
,,,"14","Test Recon Inventory tab displays expected data
Use the Inventory xls you exported from Topology to filter on a product. Note the row count in the xls. Copy the product name (make sure you have no leading or trailing spaces)
 Navigate to Inventory > Browse> Computers. Browse by Hardware Locate the recon device from topology and click the # number of inventory items link to display the inventory popup Endpoints components for: <computer name>
In the Search field of the popup paste in the product name you copied","The row count in the Inventory popup match the Topology Inventory xls  for the filtered product. Note!! if you picked  IAHcVPPASICQA20 then the language at the time of data collection was swedish. The UI will translate  a swedish product and pick it up in the filter - see example screenshot. The excel is not so smart and will include a filter on this

",,,
,,,"15","Test Vulnerability color coding  for High Severity
 Return to Topology. Expand sublocation GASYNB2 and DMZ2 and find a Recon node with a orange Background in the map and right click to open Details to see the Summary tab 
Note the Vulnerability CVE count for each severity
","The highest severity is High representing the orange background",,,
,,,"16","Right click on one node and click Details","In the Details tab the Vulnerability tab shows the maximum criticality has a count in High category",,,
,,,"17","Test Recon Ports Details
 In the tabs at the top scroll to the right to find Ports","The Ports detail is populated similar to attached screenshot",,,
,,,"18","Test DCS Details
 In Topology:  find a DCS node in any sublocation. 
Drill down the DCS node tree one level
 Right click and in the dial popup select Details","A popup defaulting to Inventory is displayed showing the DCS asset name
NOTE!! Topology is designed for Recon and Network devices and their connections. ICS data is NOT expected to be fully representational of its inventory data and may well have no inventory data displayed in Topology

",,,
,,,"19","In the Topology DCS tree, drill down to a node at the end of the tree
Right click > Detail > in the popup select Properties tab
 Click in properties tab - Export to Excel

","Excel is created with all the Properties data from the Topology popup tab",,,
,,,"20","Close Properties tab and click on the Node link (see screenshot attached)
","A separate viewer opens
 The Viewer properties tab matches the data in the Details Property tab and the excel
",,,
,,,"21","Test Switch Details
Return to Topology, expand the location node tree and select a Switch node.  Right click and in the dial popup select Details","A new pop up is displayed defaulting to Summary Tab. 
the selected Switch name is correct at the top of the popup
The Location string at the top of the popup is correct for the data owner location
The Asset is the Data owner name
Object Type is Network Device
Date Collected matches the year the data was last collected for that Asset 
The other available tabs are MAC, LLDP, Interface ARP, Inventory, Properties, Vulnerabilities
The switch node background color represents the max criticality displayed in Vulnerability criticalities on the Summary tab

 
",,,
,,,"22","Open MAC tab","The data is similar to screenshot",,,
,,,"23","Open LLDP tab","The data is similar to screenshot",,,
,,,"24","Open ARP tab ","The data is similar to screenshot",,,
,,,"25","Open Interface tab ","The data is similar to screenshot",,,
,,,"26","Open Vulnerabilities tab","In the Details tab the Vulnerability tab shows the maximum criticality matches the background color of the tab",,,
,,,"27","Test Switch Inventory tab displays expected data
In the Topology Switch Details popup select Inventory tab. Export the data to Excel
To filter out the large number of switches, change the top level location to match the location of the switch in test
Navigate to Inventory > Browse> Network Devices Browse by Device manufacturer. Locate the network device from topology by using Search in the Inventory filters on the Model Number (found in Topology Details Summary tab)
 Find the same Switch and click the # number of inventory items link to display the inventory popup Endpoints components for: <switch name>

","The count of inventory items in the Inventory popup match the count in the Topology xls and the inventory items identifiable in both places (note that the names may not be exactly the same because they come from different tables in the database)",,,
,,,"28","Close the popup and return to Topology.
IN any sublocation select a Firewall
 Open Details popup","A new pop up is displayed defaulting to Summary Tab. 
the selected Firewall name is correct at the top of the popup
The Location string at the top of the popup is correct for the data owner location
The Asset is the Data owner name
Object Type is Network Device
Date Collected matches the year the schedule was last run for that Asset in Admin Utility
There is hover text for every field
The other available tabs are  LLDP, Interface ARP, Inventory, Properties

",,,
,,,"29","Display  the Properties tab and export to xls or screenshot ready for next step","
",,,
,,,"30","Go to Inventory > Browse > Network devices >Device manufacturer and filter on the manufacturer name to locate the same firewall device.
Click on the device name in the grid to open properties Viewer ","The Properties are the same as seen in Topology",,,
,,,"31","Ready for Successor TC 63314","
",,,
"63314","Test Case","ISS\Cyber Integrity\Topology\ Topology UI\Node association with a Group",,,,"Integrity\_Aha-HexagonPPM\Cyber\Integrity\Topology","FIRTH Suzan M (Sue) <suzan.firth@hexagon.com>","Ready"
,,,"1","Prerequisite: Predecessor TC Db connected
","
",,,
,,,"2","Test Node association to an ICS Group within a location
 Reopen or refresh web page if used for predecessor testing (need to do this to clear the cache of location Groups previously opened in Topology)
Go to topology, open the top level Node and expand GASYNB and DMZ Location Groups which have Recon, switches and DCS assets
Right click on any switch or recon node and in the dial popup select Create, wait a second and an Association flyout will appear, click Association (see screenshot)","There is a popup Associate Node to group and the drop down contains all the DCS nodes in this location only.
(You refreshed the web page because Topology remembers all previously opened Locations even if they are currently collapsed, but you refreshed the webpage and cleared that cache so you only see the ICS Groups in the Location you have just expanded)",,,
,,,"3","Select one of the DCS nodes in the dropdown and click Associate to Group
Wait a few seconds","The DCS will move across the map and  the switch or recon node will disappear.
 The DCS will be expanded so that its Group boundary background will encompass itself, the DSC, and the associated node, the recon or switch 
If the ICS node doesnt automatically expand, click the '+' and you will see the recon or switch
See screesnhot
",,,
,,,"4","Test Creating a new Node

In the currently open Location Group right click in any white space","The dial popup is displayed and Create is enabled, and 2 flyouts are added for Node and Group. Both are enabled if you hover them. See screenshot example",,,
,,,"5","Click the flyout for Node","A popup Create node is displayed with fields to populate data. See screenshot ",,,
,,,"6","Populate all fields, in the Device Type select anything from the list. Click Create Node

","The popup closes. (The node will be created somewhere in the real estate box but its a bitch to find so go to next step to verify it got created) ",,,
,,,"7","Open the Menu icon and enable Navigation menu. Find the Devices of the Device Type you added ( e.g. if you created a Router then look in the router section. See screenshot)","Your new device is listed in the menu",,,
,,,"8","Click on the device you created in the navigation menu","You are navigated to that device node on the map and it is highlighted.  Its icon will represent your device selectionThe icon has a cog with a pen in the top corner indicating it is a manually created Node. ",,,
,,,"9","Test a new Nodes properties will be displayed in Perspective Editor
Drop down the Perspective Editor Inventory list and check all of the list and Apply
Zoom in on the topology map and navigate to the enlarged new node","All the Properties you populated when creating the node that match an Inventory property are displayed",,,
,,,"10","Test Node association with DCS in a different  Location Group
 Open a different top level Location Group with DCS asset(s). Screenshot the DCS Asset(s) with their names.
Collapse the second location Group.
Now there is a second location cached in Topology, this is the group where you will associate your new node.
Right click on your new Node created in step 6, in the dial popup select Create and select the Associate flyout. ","There is a popup dialog Associate Node to Group. The drop down includes all the DCS assets in the second location you expanded and then collapsed",,,
,,,"11","Select one of the ICS assets and click Associate to Group","The new node is removed from your current location group

",,,
,,,"12","Expand the second location group and navigate to the DCS asset you associated your Node with, and expand it","Your node has moved to this asset",,,
,,,"13","Refresh the web page and return to Topology and open the location group where you associated your new node, expand the DCS where you made the association","The new node is displayed",,,
,,,"14","In the tool bar click the Image icon and open the image png","The image includes the new node",,,
,,,"15","Create a Favorite with a manually associated Node
 Click the save button along side the Favorites field and enter a favorites name","
",,,
,,,"16","Refresh the webpage. Return to Topology and select your Favorite you just created from the Favorites drop down","The map returns to the opened location and your node is included in the DCS it is associated with",,,
,,,"17","Test remove association of a Node
Go to the DCS with the associated node. Right click on the new node and hover Remove, wait for the Association flyout and click it.","The node is removed from the DCS",,,
,,,"18","Expand the original location Group where you created the node","The node is back iin that location group",,,
,,,"19","Test Create a new Group
Refresh the web page and expand the location group from previous step
 In the location, group right click in free white space and in the dial popup select Create and from the flyout select Group","A Create Group popup is displayed ",,,
,,,"20","Enter a name for the group and create it","The Group is added as a node to the current location",,,
,,,"21","Right click on the group (you may have to wait a minute for the web page to enable the popup) In the dial popup hover Create and in the flyout click Node.","This will display the Create Node popup",,,
,,,"22","Populate the name and in Device Type select a different object from the list from the previous node you made, and Create Node
Wait a minute: Ensure the Group is selected (blue outline) and expand it ( the '+' is not immediately visible","The node is in the group with the expected icon representing the device type and the cog with a pencil to indicate its a manually created node",,,
,,,"23","Test Edit Node information
 Right click on the Node within the group and click Edit Node
In the popup change the device type and some other properties and click Edit Node button","The node updates its icon to reflect the different device type",,,
,,,"24","Test move a Node to a group in the same location
Go to the first Node that you created that is now back in the current location (after step 16 above) and right click","The dial popup has enabled the segment for Group, this allows you to move an node into a Group within the current location",,,
,,,"25","Click Group","A popup Add Node to Group is displayed with the Group you previously created listed as the only selection",,,
,,,"26","Click Move to Group","The Node is moved into the new Group you created",,,
"63949","Test Case","ISS\Cyber Integrity\Topology\Test Baseline details in Recon Nodes in Baseline Creation database",,,,"Integrity\_Aha-HexagonPPM\Cyber\Integrity\Topology","FIRTH Suzan M (Sue) <suzan.firth@hexagon.com>","Ready"
,,,"1","Prerequisite
Predecessor TC 82654, linked,  DB connected
Refer summary: Additional imports required:
Network Devices
Topology
Network Devices asset created
Topology Asset created
Schedule for topology has been run
 iisreset
","
",,,
,,,"2","Go to Cyber page > Asset Hierarchy and expand the Recon DTL data owner to find the device names and note them.","
",,,
,,,"3","In Integrity left nav: Navigate to Baselines >Deviations
Select the Baseline for DTL High Risk
Filter Object Name on Contains <Devicename> and note which devices have Addition or Deletion or no deviations. Repeat for each device name

 ","
",,,
,,,"4","Go to  Topology","The recon devices in the data owner are displayed. The Devices that have Addition deviations will have a yellow background",,,
,,,"5","Expand Perspective Editor for Deviations","The Baselines drop down shows a total of (X) 
'X' representing the number of Recon Nodes that have Baseline Deviations

",,,
,,,"6","Enable Disposition and Age and Apply then collapse the Perspective Editor 
Zoom in on the Map so that the Deviations details are visible for these Recon node(s) 

","The  Node(s) will show Deviations populated for Unassigned and an Age interval matching the age since the deviation occurred - see screenshot for an example of a Recon node with deviations

",,,
,,,"7","On any Node with Deviations, Right Click > Detail

","The Deviations information with the count and age  is displayed at the bottom of the Summary Tab

",,,
,,,"8","Scroll along the tabs and select Baselines tab","The same counts are displayed and the grid source column lists Baseline Source objects as links in the UI.
The Baseline name is listed and the Detected date

",,,
,,,"9","Click on one of the links in Source column","A separate viewer is displayed showing the applicable Viewers for the Recon object flagged as a deviation: The viewers can be any of the following depending on the object link:
 Computer details, Properties Changes, Component Modifications, MOC cases, System Backup, Event Viewer, Notes

",,,
,,,"10","Return to the Topology Web tab. Click Export to Excel and open the xls","The number of data rows matches the count in the Deviations icon at the top of the popup
The data in the excel matches the Baseline Summary popup in Topology",,,
"67859","Test Case","ISS\Cyber Integrity\Topology\ Topology map linkages in new database",,,,"Integrity\_Aha-HexagonPPM\Cyber\Integrity\Topology","FIRTH Suzan M (Sue) <suzan.firth@hexagon.com>","Ready"
,,,"1","Prerequisite: New database
  Admin Utility > Asset Models:  Import the  models:
PAS Inventory items
PAS Recon
PAS Cyberintegrity
PAS Network Devices
PAS Topology
 
The datasets are found here: \QASTORE01\zzAutomation_Data\QTP_Data\Integrity Data\PAS Network Devices\ NetworkImport
 QASTORE01\zzAutomation_Data\QTP_Data\Integrity Data\PAS Recon Data\Integrity DTL VMs NEW\Recon DTL VMs ForTopo linkages.7z 
 
Copy them locally and unzip the Recon
Go to Admin Utility > Asset Configurations Add dataowners for Recon and Network devices 
Under Import Folder, Browse to location of your dataset and Save
NOTE! When the recon data is imported, the data gets modified, Always unzip the data from scratch before importing
Go to Schedules - Add schedules for   Recon (Sequence is XML Import All)
 and Network devices (Sequence is All). 
Right click on the Schedules and Run
(if run is not enabled, click the refresh icon at lower left or restart the DataCollector service) 

","
",,,
"63256","Shared Steps",,"2","SHARED STEP: Before running latest Asset model PAS Inventory Items schedule:",,,,
,,,"2.1","Running latest Asset model PAS Inventory Items schedule:
Admin Utility: If you have not already done so: Import latest Inventory asset model and create an Asset 
Ensure you have a Cyber Asset model, if not import it and create an asset
Ensure you have Access DB Engine Office 10 64 Bit installed. If not install it from the installer ISS_Setup.exe via Additional Software link in the Installer popup
Go to installation folder \PAS\Integrity\DataCollector\Asset Models\PAS Inventory Items and copy PASInventory.accdb to the \Datacollector folder
 ","
",,,
,,,"3","Admin Utility > Asset Configurations: Add an Asset for PAS Inventoryitems called Inventory
Under Schedule Add a schedule for Inventory
Select sequence Create Inventory items for PAS Recon without Tree
 Run the schedule
","
",,,
"65643","Shared Steps",,"4","SHARED STEP: Create a Cyber Hierarchy with Inventory",,,,
,,,"4.1","Build a Cyber Hierarchy
Prerequisite: Data owners and  PAS Inventory Items schedule has been run 
Open <Install folder>DataCollector\ConfigurationManager as Admin
 In upper drop down select  CyberInventory.
 Create the top-level location in the Cyber Tree: Right click in left Panel > Add Child Node and name it e.g. Plant A or Enterprise. (there may be an error popup when you do this, click OK and ignore it) 
 
From Asset drop down: Select one of your Assets e.g. Recon 
From Object Type select Data owner from drop down and the data owner name will populate in the panel below. Select the name in the Panel and drag onto the top level node. See screenshot
Right click on the left panel and refresh and the Top Node will have a '+'. 
 Expand '+' and you will see a sublevel node for (example) your Recon or Fox data owner - see second screenshot
 
Repeat for other Recon, Network Devices and ICS assets as applicable.
","
",,,
,,,"4.2","If you need inventory data perform the next steps. If you dont need inventory data you can stop here","
",,,
,,,"4.3","If you have ICS or DCS Assets:
 With your ICS e.g. Fox data owner selected in Asset: From Object Type select Inventoryitem
 When selecting ICS assets you will see multiple Inventory items, you want the one with *****DATAOWNER**** in the name 
 Select the ***DATAOWNER*** item and drag it onto the ICS node e.g. the Fox node. See screenshot
","
",,,
,,,"4.4","If you have Recon Assets:
 With your Recon data owner selected in Asset: From Object Type select Inventory_Asset and drag the data owner name (there is only one) from the panel and drop it onto the recon node. See screenshot ","
",,,
,,,"4.5","If you have Network Devices Assets
 With your Network Devices data owner selected in Asset: From Object Type select Inventory_folder and drag NetworkDevices_All  from the panel and drop it onto the Network Devices node. ","
",,,
,,,"4.6"," You dont need to save, it does that automatically
 Post condition:
 Ready for Admin Utility Schedule for Cyber 
","
",,,
,,,"5","Admin Utility > Asset Configurations: Add an Asset for PAS Cyber Integrity called Cyber
Under Schedule Add a schedule for Cyber and run it (there is only one sequence)
Create a schedule for Topology and run it (there is only one sequence)","The topology sequence completes without errors",,,
"48310","Shared Steps",,"6","SHARED STEP: Create Virtual directory, assign ingrnet account to ISS Application pool, remove popup blockers",,,,
,,,"6.1","If this is a new install open ISS Manager
 Ensure if there is an ingrnet account assigned to the Ingrnet  and Dashboard (if you are using dashboard) Application pools
See attached","
",,,
,,,"6.2","In ISS Manager > Sites > Default website > Integrity, under ISS section, open Authentication
Ensure Anonymous Authentication is disabled","
",,,
,,,"6.3","If Dashboard is applicable to testing and already installed:
 In ISS Manager > Sites > Default website > Dashboard, under ISS section, open Authentication
Ensure Anonymous Authentication is disabled","
",,,
,,,"6.4","Admin Utility> Virtual Directory - If you havnt previously opened the webpage: create the virtual directory
Site name: Default Site
Application name: Integrity
Host name: your integrity server name 
 (If the VM has a secure SSL certificate enter the Fully Qualified Domain name <Server name>.ingrnet.com and check Use Secure Connection)
example: https://iahcvppasisqa19.ingrnet.com/integrity
Save","
",,,
,,,"6.5","If Dashboard is applicable to testing:
Go to Maintenance > Dashboard: 
Populate dashboard url 
 If the VM has secure SSL Certificate: Ensure the Dashboard url  has the Fully Qualified Domain name https://<Server name>.ingrnet.com/dashboard
Save
","
",,,
,,,"6.6","Go to Users and Groups. Ensure Windows authentication is selected
Under groups tab, ensure your domain group is under admin group, if not Edit Group > in the popup, Choose Windows Group and Add your domain group and save
iisreset","
",,,
,,,"6.7","In your browser ensure that popups are not blocked - see attached screenshot for where this is indicated","
",,,
,,,"7","iisreset
 Open Cyber webpage>Topology
Expand Perspective Editor and under Inventory, enable MAC Address
Click Apply and collapse Perspective Editor
Click the filter icon in upper tool bar to open Map Display Filters, enable Link Info and close the popup
Navigate to the network switch DEVLAB-HIR-M102
Zoom in enough to see the Inventory Information for Mac Addresses for all nodes
You are going to test the recon nodes so you can drag any overlapping nodes you dont want out of the way

"," The switch has a link to 2 Recon nodes

 The links have a label at each end (zoom in!) 
At the Recon end the label is similar to ""Network Adaptor.....""
At the switch end the label is a number in the format ""x/y"" 
",,,
,,,"8","Right click the Switch > Details and in the Details, popup select MAC Tab
","The Interface column numbers for the rows with Type = Endpt match the numbers on the links at the switch end (""x/y"") that link to the 2 recon assets 

The 2 rows in the MAC table with the link interface numbers above have the Mac addresses displayed in the Recon Nodes' Perspective information
",,,
,,,"9","Find the Switch DEVLAB-CIS-2960X
","It has one Recon Device attached.
The link has a label at each end
At the Recon end the label similar to ""Network Adaptor.....""
At the switch end the label is Gi/1/0/13
",,,
,,,"10","Right click the Switch > Details and in the Details, popup select MAC Tab
","The Interface column number for the row with Type = Endpt matches the numbers on the link at the switch end that links to the recon node 

The MAC table row with the link interface number above has the Mac address displayed in the Recon Node's Perspective information
",,,
,,,"11","Test link Info is correct between Network devices and LLDP Discovery assets
 In the Details popup for Switch DEVLAB-HIR-M102 select LLDP tab.
","Under remote Device column, the linked switches are listed, and the LLDP Discovery Device, DEVLAB-CIS-SG200-26.
The Local Int numbers match the labels on the links to these switches/LLDP Device
",,,
,,,"12","Click on the LLDP Discovery asset and bring up Details -Properties","The Remote Data value matches the Local Int on DEVLAB-HIR-M102 
",,,
,,,"13","Click on 2 of the  switches connected to DEVLAB-HIR-M102 in turn and open Details - LLDP tab","The Remote Device column includes the DEVLAB-HIR-M102
The Remote Int is representative of the same link as the Local Int on DEVLAB-HIR-M102, although its in a different format (e.g. port-004-00004 represents 4/4... )
",,,
"67869","Test Case","ISS\Cyber Integrity\Topology\ Topology map UI display, Navigation, Perspectives, Favorites",,,,"Integrity\_Aha-HexagonPPM\Cyber\Integrity\Topology","FIRTH Suzan M (Sue) <suzan.firth@hexagon.com>","Ready"
,,,"1","Prerequisite: 
On VM with test build: restore and upgrade the linkages database that is located here:
 \QASTORE01\Database Backups\Integrity Datasets_Databases\REGRESSION TEST DATABASES\7.3.1 \Topology Linkages 
On one of the Release Build VMs (IAHcVPPASSQLQA2 or IAHcVPPASISQA09) restore and connect to a release version of the same database 
Due to a bug fix in 8.0.0.63 - see links- delete the topology asset and re-add in via Admin Utility Asset Configuration and add a new Topology import schedule and run it
","
",,,
"74603","Shared Steps",,"2","SHARED STEP: Applying a Permanent License for Assets and Modules",,,,
,,,"2.1","Open Admin Utility > licensing. Create a new license. 
FOR INTEGRITY. Click Begin and in the popup, click  I agree and click Next till you see the code. Copy the code.
 Go to licensing site ( the link is in Summary because it doesnt navigate to the url from this page)
Paste the code into Installation ID.
Use a QA name - Sue/Nick/Harsha - in Search and click on the name link for a license for PAS Global LLC unless your main TC called for another license )e.g. Georgia-Pacific - Leaf River for GP)
Click Verify 
The assets/modules supported by the license are listed and there is a Temporary license Key displayed below the gridded list. Copy this license and paste it into the admin utility popup in the lower field which says Enter that code here and click Next and Close
This will close Admin Utility and give you a temporary license.
 To get the permanent license: Get the QA you selected in Search to send you the licenseinfo txt file which they will have received in email and drop it into PAS\Integrity folder
Relaunch Admin Utility > licensing  
","Validate you have 
Customer Name: PAS Global LLC and Asset Models include the ICS Assets or PAS assets that you will be testing 

",,,
,,,"2.2","FOR DASHBOARD, go to the first wizard page for License and perform the same steps as above","
",,,
,,,"2.3","FOR ICS
From same site as above select   PAS Global LLC - QA Group - Cyber Integrity IM license which is for ICS
You can use Harsha or Sues User name in licensing app and contact them to get the license.txt file
(Note- use a temp license for dashboard because the ICS license doesnt support all the assets in the prep DB)

","
",,,
,,,"3","On both VMs:
Go to Cyber page > Topology","A series of nodes representing the available PCs network switches, firewall, Asset Discovery Assets (identified by the binocular icons) in the location are displayed
The nodes are the same on both VMs
Scroll bars are added to cover the larger real estate",,,
,,,"4","Go to the pink Windows Overview box in lower left corner","Dragging this box around allows you to navigate across the larger screen",,,
,,,"5","Click Zoom to Fit icon at the top","The entire map zooms out to fit on the screen",,,
,,,"6","Click Zoom in icon at the top","The screen size expands and zooms in again",,,
,,,"7","Perspective Editor
On both VMs:
 Click in the Perspective Editor drop down
Select all the checkboxes under inventory and Apply
Collapse the Perspective Editor
 Click Zoom in icon repeatedly 
 ","The Inventory items applicable to each node are displayed and match on both VMs
Navigating around the screen displays applicable inventory items for each node for Recon and Network devices",,,
,,,"8"," In Perspective Editor drop down: Click the icon at the top to Select None, In the drop down, expand Vulnerabilities and Patches, click the checkboxes for Severity and Status and apply
Zoom in ","The inventory items are removed from the Nodes and Vulnerability and Patch information is displayed and the severities populated- see example screenshot. 
The display is the same on both VMs
Note: VM data is covered in depth in another TC. This focus is for the perspective editor functionality
",,,
,,,"9"," In perspective editor add inventory item for MAC Address and apply

","The Mac address is displayed by the recon nodes as well as Vulnerability and patch information

",,,
,,,"10","Hover the Trash can icon button beside the Select a Perspective drop down.
"," The Trash icon button shows a disabled hover image, The hover text is Delete perspective ",,,
,,,"11"," Click the save icon on the tool bar next to the Select a Perspective field
","There is a popup Save Perspective to save the current perspective selection
",,,
,,,"12","Enter a name and Save
Navigate to Topology from left Nav to reset the page to its original display and zoom in

","Only the default IP address is displayed alongside each Recon and Network devices node",,,
,,,"13","Select the new addition in Select a Perspective drop down and expand the  Perspective drop down
","The selections made for the saved perspective are checked
The trashcan icon button next to Select a Perspective drop down is orange and enabled
",,,
,,,"14","Zoom in","The selected inventory item, VM and patch information is displayed for the recon nodes
The Perspective editor drop down has the saved items in the list checked.",,,
,,,"15","Map Display Filter options - Navigation menu
On both VMs zoom out to see more of the nodes:
 Click the filter icon in tool bar and in the Map Display Filters popup enable the Navigation menu
Then close the Map Display Filters popup
","A navigation popup is displayed listing all the Workstation nodes, LLDP Discovery nodes, Asset Discovery, DCS, Firewalls, Routers and Switches 
The list is the same in both VMs Navigation menus",,,
